,Título,Autor,Co Autor,Co-Autor..,Nota,Total de Avaliações,Nº de Páginas,Data,Editora,Tipo
39,Data Science Para Negócios,Foster Provost,Tom Fawcett,," 4,7 ",1.287 avaliações de clientes,404 páginas,22 março 2016,Editora Alta Books,  Capa comum – 22 março 2016 
40,Python Para Desenvolvedores: Aborda Python 3.3,Luiz Eduardo Borges,,," 4,5 ",49 avaliações de clientes,320 páginas,3 outubro 2014,Novatec Editora,  Capa comum – 3 outubro 2014 
41,Python e Ciência de Dados para Iniciantes,Raphael Hendrigo de Souza Gonçalves,,,,,40 páginas,16 maio 2024,vazio,  Capa comum – 16 maio 2024 
42,Estatística Prática Para Cientistas de Dados: 50 Conceitos Essenciais,Andrew Bruce,Peter Bruce,," 4,7 ",1.139 avaliações de clientes,392 páginas,1 julho 2019,Editora Alta Books,  Capa comum – 1 julho 2019 
43,"Manual de Análise de Dados – Estatística e Machine Learning com Excel®, SPSS®, Stata®, R® e Python®",Luiz Paulo Fávero,Patrícia Belfiore,," 5,0 ",12 avaliações de clientes,2802 páginas,11 janeiro 2024,GEN LTC,  eBook Kindle 
44,"Domine o Python (3 em 1): Python Data Science, Python em 60 minutos e Aumente sua Produtividade com Python",Liana A. Eich,,," 4,5 ",21 avaliações de clientes,178 páginas,11 fevereiro 2023,vazio,  eBook Kindle 
45,Python Eficaz: 59 Maneiras de Programar Melhor em Python,Brett Slatkin,,," 4,7 ",38 avaliações de clientes,296 páginas,5 julho 2016,Novatec Editora,  Capa comum – 5 julho 2016 
46,"Programação Python com ChatGPT: O guia do iniciante para aprender o básico de Python com ChatGPT, com exemplos de código",Jim Webb,,," 4,0 ",2 avaliações de clientes,79 páginas,11 abril 2024,vazio,  eBook Kindle 
47,Curso Intensivo de MySQL: Introdução Prática ao Desenvolvimento Baseado em Banco de Dados,Rick Silva,,," 4,8 ",11 avaliações de clientes,420 páginas,30 novembro 2023,Novatec Editora,  eBook Kindle 
48,Python com Excel: Automação e Análise de Dados,Carlos Lemonde,,,,,224 páginas,3 maio 2024,Fca,  Capa comum – 3 maio 2024 
49,"Streamlit Faça Tudo! Desenvolva Aplicação web, Dashboards, Ciência de Dados e Plotagem de Mapas.: Do Iniciante ao Avançado!",Deivison Viana Andrade,,,,,128 páginas,22 abril 2024,vazio,  Capa comum – 22 abril 2024 
50,Construindo Chatbots com Python: Usando Natural Language Processing e Machine Learning,Sumit Raj,,," 4,6 ",117 avaliações de clientes,237 páginas,16 outubro 2019,Novatec Editora,  eBook Kindle 
51,O Grande Livro do Excel - Intermediário e Avançado,Robério Gonçalves,Camelot Editora,," 4,2 ",290 avaliações de clientes,128 páginas,30 junho 2021,Camelot Editora,  Capa comum – 30 junho 2021 
52,DOMINANDO PYTHON CURSO COMPLETO,MARCEL PACHECO,,," 4,2 ",4 avaliações de clientes,121 páginas,11 abril 2023,vazio,  eBook Kindle 
53,Fluxo do trabalho com dados: do zero à prática,Escola de Dados (Open Knowledge Brasil),,," 4,6 ",81 avaliações de clientes,174 páginas,23 junho 2021,vazio,  eBook Kindle 
54,Como Automatizar as suas planilhas do Excel e Google Sheets com Python: Ganhe tempo e dinheiro colocando suas planilhas chatas e repetitivas no automático (produtividadeprogramada.com.br),Tiago P. Ribeiro,,," 4,5 ",24 avaliações de clientes,389 páginas,7 janeiro 2022,vazio,  eBook Kindle 
55,Python Direto Ao Ponto,Estêvão Paiva Fonseca,,," 5,0 ",2 avaliações de clientes,236 páginas,3 abril 2023,UICLAP,"  Impressão sob demanda (capa comum) – Edição padrão, 3 abril 2023 "
56,Dominando Python: 100+ Exercícios Resolvidos e Comentados para Acelerar seu Aprendizado (Dominando a Programação),Ruhan Conceição,,," 4,6 ",33 avaliações de clientes,205 páginas,9 junho 2023,vazio,  eBook Kindle 
57,O Grande Livro de Raciocínio e Lógica,Robério Gonçalves,Camelot Editora,," 4,3 ",217 avaliações de clientes,96 páginas,30 junho 2021,Camelot Editora,  Capa comum – 30 junho 2021 
58,AS MELHORES BIBLIOTECAS PYTHON: Torne-se um Especialista na Linguagem mais Popular do Mundo!,Diego  Rodrigues,,,,,43 páginas,30 abril 2024,vazio,  eBook Kindle 
59,"Projetos de Ciência de Dados com Python: Abordagem de Estudo de Caso Para a Criação de Projetos de Ciência de Dados Bem-sucedidos Usando Python, Pandas e Scikit-learn",Stephen Klosterman,,," 4,7 ",195 avaliações de clientes,320 páginas,11 maio 2020,Novatec Editora,  Capa comum – 11 maio 2020 
60,Fundamentos de Análise Numérica. Com Python 3 e R,F. Correia Dos Santos,Jorge Duarte,," 5,0 ",2 avaliações de clientes,812 páginas,1 janeiro 2019,Sílabo,  Capa comum – 1 janeiro 2019 
61,Python: Guia prático do básico ao avançado (Cientista de dados Livro 2),Rafael F. V. C. Santos,,," 4,5 ",612 avaliações de clientes,225 páginas,15 novembro 2018,vazio,  eBook Kindle 
62,Python e Django: Desenvolvimento web Moderno e ágil,Francisco Marcelo de Barros Maciel,,," 4,5 ",92 avaliações de clientes,448 páginas,17 agosto 2020,Editora Alta Books,  Capa comum – 17 agosto 2020 
63,Aumente sua Produtividade com Python: 20 Códigos Incríveis Prontos para Usar,Liana A. Eich,,," 4,3 ",64 avaliações de clientes,47 páginas,30 janeiro 2023,vazio,  eBook Kindle 
64,"Mini Curso de Python: Todo o necessário para você criar seus primeiros programas em Python, em menos de 50 páginas de conteúdo!",Fernando Feltrin,,," 4,2 ",8 avaliações de clientes,57 páginas,4 julho 2023,vazio,  eBook Kindle 
65,Python + Numpy na Prática!!!: Aprenda manipulação de arrays através de exercícios comentados.,Fernando Feltrin,,," 4,6 ",156 avaliações de clientes,142 páginas,3 julho 2022,vazio,  eBook Kindle 
