,Título,Autor,Co Autor,Co-Autor..,Nota,Total de Avaliações,Nº de Páginas,Data,Editora,Tipo
79,Modelagem Matemática de Doenças Infecciosas: com aplicação em Python para COVID-19,Gilberto Pereira Ramos,,,,,147 páginas,8 agosto 2023,Editora Dialética,  eBook Kindle 
80,Python Para Universitários: Aprenda Programação Orientada a Objetos (POO) Passo a Passo,Eduardo Moura,,," 2,0 ",1 classificação,530 páginas,21 julho 2023,vazio,  eBook Kindle 
81,Automação em Python: Aprenda em 2h,Marcelo F. N. de Oliveira,,," 1,0 ",1 classificação,32 páginas,26 janeiro 2024,vazio,  eBook Kindle 
82,Algoritmos Genéticos,Ricardo Linden,,," 4,6 ",49 avaliações de clientes,496 páginas,1 janeiro 2012,Ciência Moderna,  Capa comum – 1 janeiro 2012 
83,FastAPI: Construa APIs em Python: Aprenda de uma vez por todas e sem enrolação (Programação para Iniciantes),André Regino,,," 2,5 ",2 avaliações de clientes,vazio,17 janeiro 2024,vazio,  [Print Replica] eBook Kindle 
84,Descomplicando Algoritmos e Programação: Passo a passo para o Sucesso!,Deivison Andrade,,,,,66 páginas,11 abril 2024,vazio,  eBook Kindle 
85,CRUD em Python: Versão Estendida,Fernando Feltrin,,,,,354 páginas,9 janeiro 2024,vazio,  eBook Kindle 
86,Análise Financeira com Python - Fernando Feltrin,Fernando Feltrin,,," 4,4 ",87 avaliações de clientes,98 páginas,14 junho 2020,vazio,  eBook Kindle 
87,Processamento de imagens: Edição de construção do ambiente Python/OpenCV,Dr. mint,,," 5,0 ",1 classificação,76 páginas,10 maio 2024,vazio,  eBook Kindle 
88,3 em 1 - Python do ZERO às Redes Neurais Artificiais: Python do básico ao avançado + Redes Neurais Artificiais,Fernando Feltrin,,," 4,6 ",28 avaliações de clientes,515 páginas,26 janeiro 2020,vazio,  eBook Kindle 
89,Utilizando a linguagem Python para Análises de dados com Chat GPT: Data Science,Edvaldo Souza,,,,,40 páginas,20 dezembro 2023,vazio,  eBook Kindle 
90,Programação Orientada a Objetos com Python,Fernando Feltrin,,," 4,5 ",112 avaliações de clientes,124 páginas,17 janeiro 2020,vazio,  eBook Kindle 
91,Domínio de Python e Django: Construindo Aplicações Web,Anderson Rogério,,," 1,0 ",1 classificação,131 páginas,20 outubro 2023,vazio,  eBook Kindle 
92,Python em 100 Páginas: Aprenda os fundamentos de forma rápida e prática,Dan Murray,Roger F. Silva,," 4,3 ",11 avaliações de clientes,114 páginas,12 abril 2020,vazio,  eBook Kindle 
93,Guia Python Definitivo Para Iniciantes: Evolução e trabalho na área de Tecnologia,Marcelo Fabiano  N. de Oliveira,,," 4,0 ",2 avaliações de clientes,80 páginas,7 dezembro 2023,vazio,  eBook Kindle 
94,PUDIM PROJECT: Python Volume 06 - Automatizando Postagens em Redes e Plataformas Sociais (Python PUDIM PROJECT Livro 6),ANDRE LUIZ BERNARDES,Ana Cláudia Santos Bernardes,,,,48 páginas,15 abril 2024,vazio,  eBook Kindle 
95,A Linguagem de Programação Go,Alan A. A. Donovan,Brian W. Kernighan,," 4,8 ",470 avaliações de clientes,480 páginas,14 março 2017,Novatec Editora,  Capa comum – 14 março 2017 
96,Documentação do Python,Cláudio Rogério  Carvalho Filho,,," 4,0 ",2 avaliações de clientes,10262 páginas,30 junho 2022,vazio,  eBook Kindle 
97,Python para Todos - Apostila do curso: Aprenda a criar diversas aplicações,EVALDO WOLKERS,LOUIS WOLKERS,," 4,8 ",5 avaliações de clientes,332 páginas,8 agosto 2019,vazio,  eBook Kindle 
98,Computação Numérica: Métodos e Implementações,Milton Brown do Coutto Filho,Vinícius Biajoni Braga Flôr,,,,352 páginas,28 fevereiro 2024,Blucher,  Capa comum – 28 fevereiro 2024 
99,Programação em Python. Fundamentos e Resolução de Problemas,Ernesto Costa,,,,,632 páginas,1 janeiro 2015,FCA,  Capa comum – 1 janeiro 2015 
100,O Zen do Python: Uma Introdução Suave à Programação,Vinicius Borges,,,,,409 páginas,14 maio 2023,vazio,  eBook Kindle 
101,Como usar o Chatgpt para programar em python,Clayton Costa,,,,,19 páginas,13 março 2024,vazio,  eBook Kindle 
102,Documentação do PyGame,Cláudio Rogério Carvalho Filho,,,,,924 páginas,4 dezembro 2021,vazio,  eBook Kindle 
103,Estruturas de Dados e Algoritmos com JavaScript: Escreva um Código JavaScript Complexo e Eficaz Usando a Mais Recente ECMAScript,Loiane Groner,,," 4,9 ",1.132 avaliações de clientes,408 páginas,11 março 2019,Novatec Editora,  Capa comum – 11 março 2019 
104,Ensinando Programação em Python para Crianças: 5 Projetos Simples e Práticos!,Fernando Sarracini Júnior,Lorenzo M. Sarracini,," 5,0 ",3 avaliações de clientes,63 páginas,5 fevereiro 2023,vazio,  eBook Kindle 
105,Deep Learning em Python: Fernando Feltrin,Fernando Feltrin,,,,,381 páginas,3 abril 2023,vazio,  eBook Kindle 
