,0
220,"Python, ChatGPT e Django REST: Seu Guia para Dominar APIs Poderosas e Não Ficar Obsoleto: Desenvolva Habilidades Essenciais e Mantenha-se à Frente da Concorrência no Mundo da Programação"
221,Deep Learning em Python: Fernando Feltrin
222,Fundamentos Algorítmicos Negociação Com Pythonseu
223,Python para Todos - Apostila do curso: Aprenda a criar diversas aplicações
224,"Aplicações Web com Python, Flet e Dash: Versão Estendida"
225,Processamento de linguagem natural com Python: Simplesmente em profundidade
226,Dominando o Pyspark: Guia Prático e Objetivo
227,Cálculo Diferencial e Integral de Funções de Uma Variável com Python
228,Domínio da Inteligência Artificial com Python: Do Básico ao Avançado
229,Introdução à Orientação a Objetos com C++ e Python: Uma abordagem prática
230,Documentação do PyGame
231,Raspberry PI: guia do usuário
232,Introdução à Programação usando Python
233,CRUD em Python
234,Guia Prático Python & Flask: Aprenda a criar aplicações web usando o mini framework mais usado na atualidade
235,Inteligência artificial – aplicações e desafios
236,Deep Learning em Python: Versão Estendida
237,Guia Oficial Raspberry Pi Para Iniciantes: Como Utilizar O Seu Novo Computador
238,Automação em Python: Aprenda em 2h
239,Computação Numérica: Métodos e Implementações
240,Arquitetura de software distribuído: Boas práticas para um mundo de microsserviços
241,Python Para Universitários: Aprenda Programação Orientada a Objetos (POO) Passo a Passo
242,Refatoração: Aperfeiçoando o Design de Códigos Existentes
243,Domine Python em 2h
244,360 Exercícios Resolvidos e Comentados em Python (Exercícios Resolvidos e Comentados em Python - Fernando Feltrin Livro 3)
245,Guia Python Definitivo Para Iniciantes: Evolução e trabalho na área de Tecnologia
246,Use a cabeça! Programação: programação
247,Web Scraping com Python: Coletando Dados na Web Moderna
248,"Mudanças Cerebrais Devido a Psicoterapia: Alterações nos Padrões Energéticos Cerebrais, Quantificados por Eletroencefalografia Quantitativa (qEEG), ... Psicoterapêutico Cognitivo Comportamental"
249,Introdução a Programação com Python
250,Python para todos: Iniciante
251,Wild Lovers (San Diego Pythons Livro 2)
252,FastAPI: Construa APIs em Python: Aprenda de uma vez por todas e sem enrolação (Programação para Iniciantes)
253,O Zen do Python: Uma Introdução Suave à Programação
254,Python em 100 Páginas: Aprenda os fundamentos de forma rápida e prática
255,CRUD em Python: Versão Estendida
256,Tópicos Especiais em Python: Volume 3 (Tópicos Especiais em Python - Fernando Feltrin)
257,A Linguagem de Programação Go
258,Utilizando a linguagem Python para Análises de dados com Chat GPT: Data Science
259,Coletânea Python Bootcamp: (Exercícios em Python)
260,Black Hat Python: Programação Python Para Hackers e Pentesters
261,A História (Quase) Definitiva de Monty Python: Cinco britânicos e um americano que reinventaram o nonsense e viraram o mundo de ponta-cabeça
262,Modelagem Matemática de Doenças Infecciosas: com aplicação em Python para COVID-19
263,"Aplicações Web com Python, Flet e Dash"
264,"Bata em 100 bibliotecas Python: série de aprendizagem de 1 hora, edição 2024"
265,Análise de dados Python para novatos: numpy/pandas/matplotlib/sklearn/keras
266,COLETÂNEA PYTHON NA PRÁTICA: Fernando Feltrin
267,Python para todos 3: CSS + HTML
268,Ensinando Programação em Python para Crianças: 5 Projetos Simples e Práticos!
269,Data smart: usando data science para transformar informação em insight
270,Documentação do Python
271,Coletânea Python Best Sellers - Fernando Feltrin
272,Coletânea PYTHON TOTAL: Edição Exercícios Resolvidos e Comentados em Python
273,PYTHON TOTAL - Volume 2: Fernando Feltrin
274,Python para Gestores: Um guia prático para programação no mundo dos negócios
275,Construindo Aplicações web com PHP e MySQL
276,Python - 20% que eu preciso saber para ter 80% de resultados
277,Sistemas Orientados a Objetos: Teoria e Prática com UML e Java
278,Mergulhando No Python
279,Estruturas de Dados e Algoritmos com JavaScript: Escreva um Código JavaScript Complexo e Eficaz Usando a Mais Recente ECMAScript
280,"Django Essencial: Usando REST, Websockets e Backbone"
281,PUDIM PROJECT: Python Volume 02 - Funções Essenciais (Python PUDIM PROJECT Livro 2)
282,ALGORITMOS COM PYTHON PARA INICIANTES
283,Aprendendo Python: Um guia básico de programação
284,Fácil Aprendizagem Estruturas De Dados e Algoritmos Python 3: Aprenda graficamente estruturas de dados e algoritmos Python melhor do que antes
285,Análise Financeira com Python - Fernando Feltrin
286,Simulação de Eventos Discretos com Python Simpy : Um guia prático
287,Métodos Computacionais Aplicados à Agricultura
288,Aprendizado profundo Para Leigos
289,Aprendizado Profundo Para Finanças
290,PUDIM PROJECT: Python Volume 06 - Automatizando Postagens em Redes e Plataformas Sociais (Python PUDIM PROJECT Livro 6)
291,Fundamentos da Programação Lógica e Funcional: o Princípio de Resolução e a Teoria de Reescrita
292,Python Descomplicado: P
293,Como usar o Chatgpt para programar em python
294,Aplicações Web com Python e Dash: Do Básico ao Avançado
295,Desvendando o MongoDB. Do Mongo Shell ao Java Driver
296,As Regras da Programação: Como criar códigos melhores
297,Algoritmos Para Leigos
298,"R para Data Science: importe, arrume, transforme, visualize e modele dados"
299,"Introdução à Programação Científica: Trabalhando com MATLAB®, Scilab e Python"
300,Controle e Modelagem Fuzzy
301,Princípios de Ecologia Numérica: com exemplos em Python
302,Algoritmos. Programação Para Iniciantes
303,Trilhas Python: Programação multiparadigma e desenvolvimento Web com Flask
304,COLETÂNEA Interfaces Gráficas com Python: Fernando Feltrin
305,Redes bayesianas: aplicações em confiabilidade e no diagnóstico de perdas não técnicas
306,"Análise preditiva Para Leigos: o poder de predizer quem vai clicar, comprar, mentir ou morrer"
307,Exercícios Python Numpy: Skyrocket sua habilidade de Python
308,HTML e CSS: projete e construa websites
309,"Coletânea Tópicos Especiais em Python - Fernando Feltrin: 5 livros, 600+ páginas de conteúdo"
310,Python + AWS Lambda + AWS API Gateway: Crie um sistema backend completo Serverless em nuvem AWS.
311,Coletânea PYTHON NA PRÁTICA Vol. 3: Aprenda Python Através de Exercícios Resolvidos e Comentados
312,Manual Básico da Linguagem R: Introdução à análise de dados com a linguagem R e o RStudio para área da saúde
313,"Python Para Análise de Dados: Tratamento de Dados com Pandas, NumPy e IPython"
314,Documentação do PyInstaller
315,Introducao A Programacao Numerica Em Python
316,Análise Estatística da Decisão
317,Coletânea Programação Orientada à Objetos em Python: Fernando Feltrin
318,Fundamentos da analise Tecnica: A Teoria de Dow
319,Padrões em Dados: Detecção usando Python
320,Algoritmos e programação II com C# (Série Universitária)
321,Análise de Dados com Python e Pandas
322,Python na Prática - Aprenda Python Através de Exemplos Comentados: Apenas códigos comentados
323,Plasticidade: teoria e exemplos na engenharia
324,Aprenda o básico de Python: Direto ao ponto
325,PUDIM PROJECT: Python Volume 01 - Funções Essenciais (Python PUDIM PROJECT Livro 1)
326,Python Em 30 Dias
327,Curso Básico de Python
328,Programação com Arduino: Começando com Sketches
329,Use a cabeça! Desenvolvendo para Android: desenvolvendo para Android
330,PUDIM PROJECT: Python Volume 04 - Funções para Automatização (Python PUDIM PROJECT Livro 4)
331,PUDIM PROJECT: Python Volume 03 - Automatizando Postagens em Redes e Plataformas Sociais (Python PUDIM PROJECT Livro 3)
332,Fundamentos de Análise Numérica. Com Python 3 e R
333,Robot framework: Automação versátil e consistente para testes
334,O Mínimo que você precisa saber sobre Banco de Dados e SQL: Uma abordagem prática e muito simples – para verdadeiros iniciantes (produtividadeprogramada.com.br)
335,Aprenda Python em 2h: Com Projeto Backend Completo Grátis
336,Algoritmos Genéticos
337,Tópicos Avançados em Python - Fernando Feltrin
338,PUDIM PROJECT: Python Volume 05 - Automatizando Postagens em Redes e Plataformas Sociais (Python PUDIM PROJECT Livro 5)
339,Coletânea Python Na Prática - 3 Volumes
340,Código De Processo Civil Comentado
341,Algoritmos
342,Ebook: Python para Leigos - Um Guia Completo para Iniciantes
343,Python para Pessoas com TDAH: Curso Passo a Passo de Programação
344,Cálculo Numérico
345,Introdução à Economia: com aplicações em Python
346,Modelagem Matemática de Doenças Infecciosas - Com aplicação em Python para Covid-19
347,IoT com MicroPython e NodeMCU
348,Dicionário de Termos Técnicos de Informática - 3a. edição
349,USE PYTHON NO POWER BI: Aumente sua produtividade com uso da linguagem Python
350,Programação Definitiva De Redes Neurais Com Python
351,Análise de Dados Financeiros e Econômicos com o R
352,Curso De Programação Em Python Para Iniciantes
353,CONJUNTOS E LOGICA FUZZY
354,"Bíblia do MageAI, integração de dados e software ETL Pipelines integrados ao controle de versão Git"
355,Criatividade
356,Python na Prática da Inteligência Artificial: Do Zero às Aplicações Avançadas
357,Coletânea PYTHON TOTAL: Edição Tópicos Avançados / Especiais em Python
358,Introdução ao Machine Learning: Com Python e Scikit-Learn
359,Como usar o Chatgpt para programar: Python
360,Python: 301 Perguntas e Respostas de Especialistas
361,Python do Básico ao Avançado - Fernando Feltrin
362,Arrays com Python + Numpy - Fernando Feltrin
363,Computação Evolucionária: Aplique os algoritmos genéticos com Python e Numpy
364,Coletânea Deep Learning em Python: Do básico ao avançado
365,Redes Neurais Artificiais: Fernando Feltrin
366,Código Limpo
367,Python Essencial Da Ciência de Dados à Automação
